观测序号_nobs,Date,Close_Price
77682,2023-08-23,458.32
77683,2023-08-24,459.7
77684,2023-08-25,459
77685,2023-08-28,459.14
77686,2023-08-29,460.35
77687,2023-08-30,461.96
77688,2023-08-31,464.16
77689,2023-09-01,463.79
77690,2023-09-04,465.5
77691,2023-09-05,465.85
77692,2023-09-06,464.13
77693,2023-09-07,464.38
77694,2023-09-08,467.68
77695,2023-09-11,468.09
77696,2023-09-12,469.4
77697,2023-09-13,470.21
77698,2023-09-14,474.7
77699,2023-09-15,469.6
77700,2023-09-18,469.18
77701,2023-09-19,471.26
77702,2023-09-20,472
77703,2023-09-21,472.83
77704,2023-09-22,471.72
77705,2023-09-25,475.73
77706,2023-09-26,474.04
77707,2023-09-27,462.68
77708,2023-09-28,447.1
77709,2023-10-09,438
77710,2023-10-10,449.88
77711,2023-10-11,450.42
77712,2023-10-12,451.05
77713,2023-10-13,453.99
77714,2023-10-16,460.24
77715,2023-10-17,462.61
77716,2023-10-18,466
77717,2023-10-19,468.95
77718,2023-10-20,474.84
77719,2023-10-23,472.47
77720,2023-10-24,473.31
77721,2023-10-25,471
77722,2023-10-26,474.17
77723,2023-10-27,475.8
77724,2023-10-30,476.9
77725,2023-10-31,476.86
77726,2023-11-01,475.4
77727,2023-11-02,476.32
77728,2023-11-03,476.99
77729,2023-11-06,474.63
77730,2023-11-07,471.44
77731,2023-11-08,470.5
77732,2023-11-09,467.73
77733,2023-11-10,469.46
77734,2023-11-13,468.94
77735,2023-11-14,470.78
77736,2023-11-15,471.55
77737,2023-11-16,470.88
77738,2023-11-17,471.65
77739,2023-11-20,466.35
77740,2023-11-21,466.79
77741,2023-11-22,465.69
77742,2023-11-23,465
77743,2023-11-24,465.02
77744,2023-11-27,469.83
77745,2023-11-28,471.31
77746,2023-11-29,474.22
77747,2023-11-30,474.04
77748,2023-12-01,474.32
77749,2023-12-04,480.45
77750,2023-12-05,473.93
77751,2023-12-06,473.7
77752,2023-12-07,474.45
77753,2023-12-08,474.1
77754,2023-12-11,469.34
77755,2023-12-12,467.76
77756,2023-12-13,466.01
77757,2023-12-14,475.03
77758,2023-12-15,474
77759,2023-12-18,473.82
77760,2023-12-19,473.99
77761,2023-12-20,476.6
77762,2023-12-21,475.54
77763,2023-12-22,478.66
77764,2023-12-25,479
77765,2023-12-26,480.49
77766,2023-12-27,482.17
77767,2023-12-28,482.19
77768,2023-12-29,479.59
77769,2024-01-02,483.66
77770,2024-01-03,481.49
77771,2024-01-04,480.4
77772,2024-01-05,480
77773,2024-01-08,479
77774,2024-01-09,478.66
77775,2024-01-10,478.08
77776,2024-01-11,478.2
77777,2024-01-12,479.18
77778,2024-01-15,483.44
77779,2024-01-16,482.7
77780,2024-01-17,477.3
77781,2024-01-18,476
77782,2024-01-19,479.51
77783,2024-01-22,478.39
77784,2024-01-23,478.52
77785,2024-01-24,478
77786,2024-01-25,475.8
77787,2024-01-26,479.26
77788,2024-01-29,479.2
77789,2024-01-30,480.15
77790,2024-01-31,480
77791,2024-02-01,480
77792,2024-02-02,483.55
77793,2024-02-05,479.11
77794,2024-02-06,478.81
77795,2024-02-07,480.08
77796,2024-02-08,480.58
77797,2024-02-09,479.99
77798,2024-02-19,479.52
77799,2024-02-20,479.66
77800,2024-02-21,479.57
77801,2024-02-22,479.32
77802,2024-02-23,477.81
77803,2024-02-26,480.57
77804,2024-02-27,481.3
77805,2024-02-28,480.1
77806,2024-02-29,480.96
77807,2024-03-01,483.4
77808,2024-03-04,489
77809,2024-03-05,496.52
77810,2024-03-06,499.76
77811,2024-03-07,505.1
77812,2024-03-08,505.84
77813,2024-03-11,507.29
77814,2024-03-12,505.24
77815,2024-03-13,504.79
77816,2024-03-14,505.2
77817,2024-03-15,507.12
77818,2024-03-18,503.26
77819,2024-03-19,504.06
77820,2024-03-20,505.2
77821,2024-03-21,514.94
77822,2024-03-22,511.16
77823,2024-03-25,511.13
77824,2024-03-26,512.52
77825,2024-03-27,515.94
77826,2024-03-28,518.8
77827,2024-03-29,527.54
77828,2024-04-01,533.74
